id,title,description
2614,Magnetic Tiles content,"We are looking for enthusiastic content creators who can create inspiring and attractive content around our magnetic tiles. Our target group consists of families, children and creative adults who love building, discovering and playing. Having children is a plus because this helps to create authentic family-oriented content. Goal of the content Providing inspiration Show how versatile the magnetic tiles are Increase engagement Create content that invites interaction such as likes, shares, comments Education Show how the magnetic tiles contribute to creativity, problem solving and motor development Stimulate sales Focus on the benefits and fun of playing with the tiles"
3040,FREE GIFTCARD,Please do not apply for more than one store or date just apply for the store you can visit on the day you can visit We will give you a free giftcard at the store during your visit to spend on whatever you like from our products in return we expect a fun colorful video of our store and the items you bought
3406,Low Carb Four Week Step-by-Step Plan,Free Book with a week by week meal plan and shopping list free bonuses Delicious easy low carb recipes Access to our Together Slimming community
2870,Wella Ultimate Smooth Line T V,Do you want to promote the latest line from Wella? We are looking for you! Get a package TWV and make the coolest content on TikTok videos or on Instagram posts and stories.
2554,CBD oil,"Beyuna’s CBD oil consists only of CBD A and hemp seed oil. The CBD oil has a slightly thicker structure because the CO extraction is a gentle, clean extraction without heating in which cannabinoids are well preserved more natural plant material remains in the hemp paste. When the bottle is in a cold environment, the oil may become thicker and even viscous in texture. Tip: Store the bottle in a dark place at room temperature and warm up the bottle between your hands before use. The heat keeps the CBD oil liquid"
2497,Homemade Egyptian Food,"We are excited to offer you a voucher to experience the Homemade platform. With this voucher, you can select dishes from our talented local chef in Rotterdam and enjoy a fresh authentic meal delivered right to your door. Share this experience with your followers and help us showcase the talent of a home-based chef in your community."
3149,Winne Feis SCHILDERIJ poster print,A FREE poster print of this painting by Winne Feis Every Dutch Hip Hop connoisseur knows this iconic Barz session from Winne Feis This painting perfectly captures the feeling of this session Irresistible for true enthusiasts Create content when unpacking this print or just as it is hung up Show the level of detail in the right bottom corner with the logo and mention Pencilking pronunciation pensil king several times
3309,BluMill Coffee Machine,"Make the perfect oat cappuccino with BluMill Are you a coffee lover and always in for a delicious cafe latte espresso or creamy cappuccino With the BluMill Coffee Machine, you determine the amount of foam yourself and you can perfectly froth both cow's milk and plant-based milk We are looking for enthusiastic content creators who want to test this machine and share their experience. We will send you a short script as inspiration, but of course you may give it your own twist What do you get The BluMill Coffee Machine as reward Chance on a long-term collaboration if we are a good match Does this sound like something for you? Let us know"
3044,FREE GIFTCARD,Please do not apply for more than one store or date just apply for the store you can visit on the day you can visit We will give you a free giftcard at the store during your visit to spend on whatever you like from our products in return we expect a fun colorful video of our store and the items you bought
3150,Mother's milk jewellery,Let’s Collab Are you someone who has given breast milk or do you know someone who wants to give it? Do you want to cherish this beautiful journey? Then we have the perfect piece of jewelry that your mother's milk can be in and you can wear it with you forever. We are looking for creative content makers who want to promote our handmade breast milk jewelry in exchange for content
3409,Pamper Mom with Blokzeep,Unboxing videos of the Mother’s Day gift sets
2374,Drink for the sports creator,"Do you have a passion for running cycling or triathlon? Perfect, we are looking for you. Vitalicsport com is a sports brand aimed at endurance athletes to help them become and stay free of injuries. For our content marketing, we are therefore looking for enthusiastic and sporty creators. Currently, we are specifically looking for collaboration linked to our drink bottle set. The videos do not have to be standard advertisements. We actually prefer it when you use our products to share valuable tips such as tips on how to effectively use a foam roller or the most effective exercises with a fitness band. There are few restrictions on the type of video that you make, so let your creativity run free. In addition, you can also give a discount code to your followers in percent so that the collaboration also benefits your followers"
195,BCD at Jimmy Woo this Saturday,x Guest list for BCD at the Jimmy Woo this Saturday
3842,Zavor coffee.,Get a bag of 100g of honest Zavor Dark Roast coffee beans and a bag of 100g of Zavor Freshbrew Red ground coffee.
3046,FREE GIFTCARD,Please do not apply for more than one store or date just apply for the store you can visit on the day you can visit We will give you a free giftcard at the store during your visit to spend on whatever you like from our products in return we expect a fun colorful video of our store and the items you bought
3151,New Hair Care Line for Women and Men.,We are a new hair care brand located in Belgium with an online webshop and store in Kortrijk. We are looking for influencers with a strong and engaged follower base preferably with a focus on hair care and beauty Both male and female influencers Influencers with voluminous hairstyles are welcome Piercings or tattoos are allowed and even encouraged for an authentic look We are launching a Valentine special for incl shipping for products oil is out of stock deal from until
2947,Premium Natural Dog Supplements,Free product worth of my money in exchange for a photo of the dog with the product. Choice between Anti Itch Allergy Fresh Breath Teeth Hip Joints Anti anal glands
2300,Launch of the Nutrition App,"Launch Deal Promote our Keto App Get Free Access Are you a food or lifestyle influencer who loves healthy eating and personalized tools? This deal is for you. We are launching our brand new keto app, a revolutionary tool that allows users to get a personalized keto weekly menu tailored to their goals. Receive shopping lists so that healthy eating becomes simple. Access more than 100 premium recipes and standard recipes perfect for every moment of the day. What you get as an influencer: free access to our premium app for a month. Exclusive access to all functionalities and recipes. The opportunity to discover and test our app with your followers. What we ask of you: your creative UGC content, such as a post video or story, to showcase our app. Share your personal experience with your community and inspire others to try keto in an easy way. Why join? This collaboration offers you the opportunity to create unique content and add value to your followers while enjoying our exclusive premium features. Does this sound like the perfect match? Grab this chance and promote a healthier life together with us"
2556,Wash strips for a discount,"Discover the benefits of plant-based stain remover and laundry detergent in Eco-friendly Laundry Strips, enjoy a clean wash that is gentle on your clothes, safe for the environment and suitable for sensitive skin of your little one. Whether you are washing baby clothes, bedding or daily wear, the Laundry Strips provide powerful cleaning without the downsides of traditional detergents"
2505,Menu Tasting Egyptian Homemade Food,"We are excited to invite you to experience Nasomy's authentic Egyptian cuisine right from her home kitchen in Rotterdam. Instead of a standard voucher, we are offering a personalized tasting menu featuring several of Nasomy's signature dishes carefully curated to give you a true taste of Egyptian home cooking. This exclusive meal will be delivered straight to your door ensuring freshness, quality and an intimate culinary journey."
3152,Free Supplement Superfood Functional Mushroom Blend.,Looking for a better coffee alternative without the jitters and energy crashed? Try our functional mushroom superfood blend for free! We would love for you to post either some nice pictures of you with our product or share a video review detailing your experience using our Morning Blend.
3153,The best and most fun sleep supplement Snoozeshot,Snoozeshot is a new sleep supplement developed by former poor sleeper Anton van Beusekom from Amsterdam. Check the renewed website for more information.
2498,Homemade Japanese Food,"We are offering you a voucher to order a homemade Japanese meal from our certified home chef in Amsterdam. With this voucher, you can enjoy an authentic handcrafted dish that highlights traditional flavors, fresh ingredients and the personal touch of an expert home cook."
3381,Promote the free Crokinole board game to play for €20,"Board Game Influencers Wanted Are you an influencer on TikTok or Instagram and do you love board games? We have something special for you. Crokinole is the best undiscovered board game that is now conquering Europe, and we need your creativity to make it even more popular. What should you do? It's simple: play Crokinole with your friends, enjoy the game, and let your creativity run wild. Make fun videos of your best tricks and share them with your followers. Your unique style and enthusiasm can take this game to a higher level. Crokinole is a super-fun and accessible game that you can learn in less than three minutes. It's perfect for everyone from 5 years old, so you can play it with friends and family. A little about me and Crokinole: This amazing board game comes from Canada. Five years ago I discovered it and was immediately in love. Unfortunately, it wasn't available in Europe and the shipping costs were exorbitant. But now I have produced the game myself and offer it within Europe with FREE shipping. This is your chance to discover a unique board game and share it with your followers. Let's make Crokinole popular together in Europe"
3042,FREE GIFTCARD,Please do not apply for more than one store or date just apply for the store you can visit on the day you can visit We will give you a free giftcard at the store during your visit to spend on whatever you like from our products in return we expect a fun colorful video of our store and the items you bought
3041,FREE GIFTCARD,Please do not apply for more than one store or date just apply for the store you can visit on the day you can visit We will give you a free giftcard at the store during your visit to spend on whatever you like from our products in return we expect a fun colorful video of our store and the items you bought
3383,Play and promote a free Crokinole board game worth € and more,"Looking for board game enthusiasts Are you an influencer on TikTok or Instagram and love board games Then we have something very special for you Crokinole is the best undiscovered board game that is now conquering Europe and we need your creativity to make it even more popular What do you have to do It's really easy Play Crokinole with your friends enjoy the game and let your creativity run wild Make cool videos of your best tricks and share them with your followers Your unique style and enthusiasm can take this game to a new level Crokinole is a super fun and accessible game that you can learn in less than three minutes It's perfect for everyone from 4 years old so you can play it with friends and family A little about me and Crokinole This great board game comes from Canada Five years ago I discovered it and fell in love right away Unfortunately, it was not available in Europe and the shipping costs were astronomical But now I have produced the game and offer it within Europe for FREE That's your chance to discover a unique board game and share it with your followers Let's make Crokinole popular together in Europe"
2506,Japanese Matcha Cheesecake.,We are excited to offer you an exclusive Japanese cheesecake freshly baked by one of our talented home chefs in Amsterdam Experience the delicate cloud like texture and subtle sweetness that set this dessert apart In exchange we would love for you to share your honest impressions and highlight the Homemade platform connecting local artisans with those who appreciate quality authenticity and a personal touch
1900,Cocktails at the Chaya Restaurant and Cocktail Bar for years,"For this deal we are looking for someone who wants to make a video about Chaya Restaurant Cocktailbar and the cocktails that are drunk there. A compilation of the cocktails from the establishment with a voice over telling something. We would like to post it on Tiktok and Instagram in one post together that comes on your and our pages. In return, for people, cocktails can be drunk totally per person so for you and your company from the entire cocktail menu"
2617,Clay Cafe Lab ceramics experience with a drink and snack The Hague,"Free entry for max people For an hour and a half, decorate ceramics Includes free drink lunch or dinner Discover your hidden creative talents in this mini ceramic workshop We offer you a drink and a brief explanation of how it works and what you can create with the extra materials we have for you Then choose from our wide selection of pre-baked South African ceramics, you may choose items up to more expensive taste Then lay something down You choose your favorite colors brushes tampons sponges templates and other materials and get started You can sit inside where you can experience some background noise from playing children If you want, come early or outside in a cozy tent where you can relax and get into the flow Don’t forget to order something for lunch or dinner that is included in the price Feel free to bring someone with you Chat with us When we post about Clay Cafe, we always pay attention via our account For example, through a repost or story so that our reach can also give your account new visibility We evaluate your contribution in the form of a score and review and communicate this to you so that you can use it when entering into new collaborations with other companies All influencers with whom we work pleasantly are on our Special Partners List They are the ones who are informed first about news, opportunities for additional collaboration and special occasions more deals, therefore"
2558,Order at Flink on Thuisbezorgd nl,Get a EUR voucher that you can use at any Flink location on Thuisbezorgd nl for delivery Host a girls night in with tasty drinks and snacks all in festive atmosphere Perfect for Christmas or O N with friends
2496,Egyptian cuisine.,"We are excited to propose a mutually beneficial partnership structured as a barter arrangement. In exchange for a prominent shout out on your social platforms we would be delighted to provide you with a diverse selection of authentic Egyptian dishes. Looking beyond this initial collaboration, we are open to exploring additional creative initiatives and partnership opportunities that will continue to strengthen and expand our relationship"
2475,Magical Escape Room The Alchemist,Come play one of our award winning experiences free of charge depending on your target audience and follower amount Contact us and we will pick a date and time for you to come by you can bring friends and we will ask you to film and share specific moments on your socials This is a unique opportunity to experience one of the highest rated escape rooms in the world
3047,FREE GIFTCARD,Please do not apply for more than one store or date just apply for the store you can visit on the day you can visit We will give you a free giftcard at the store during your visit to spend on whatever you like from our products in return we expect a fun colorful video of our store and the items you bought
3154,Children's book about the adventures of Bella and Bibi,It is a reading book for children from year old. More information can be found at https bellaenbibi nl
3843,Tocu Menopause Vitamin Patches,Super Woman aims to support women’s health through menopause from supporting hormonal balance to helping tackle menopausal hot flushes. This carefully formulated natural blend includes Valerian Blue Skullcap Gotu Kola and more to help see you through this new era You got this
2153,STOBE Titanic mini beamer trade-in deal NEDERLAND,You get the product and we would like to receive a few shots with the product
2613,Fits Kids D pen content,"We are looking for creative content creators who can create engaging and attractive content around our D pens A d pen is a popular product among children in which you can draw objects in d. Our target group consists of families, creative adults and children who like to develop their imagination and skills It is an advantage if the creator has children themselves so that the content is authentic and fits with our target group We are looking for multiple creators Purpose of the content Offer inspiration Show what is possible with the D pens Increase engagement Create content that invites interaction such as likes, shares, comments Education Show how the D pens can be used with tips and tutorials Stimulate sales Bring out the benefits of the D pens"
1852,Free SweatHack T-Shirt for Men,"Do you want to show your followers a great sweat hack? At Confidence For All we believe that the right essentials can make the best out of your day and we have something special for you. We offer you free tops or shirts to wear, test and promote. Earn commission if someone buys through your link. We believe that confidence starts with the right outfit and that is why we want to collaborate with influencers like you who want to share our message of self-confidence and style with your audience. What do we offer? Free essentials Get free polo shirts or gratis shirts t w v circa and show your followers how they can stay dry and comfortable with your sweat hack Affiliate commission Earn extra every time someone buys through your link Create your own affiliate link and earn on every sale that takes place via your link Sign up via https confidenceforall goaffpro com Need inspiration? Check out how influencer beautatelierzuid tackles it and shares her own sweat hack. Let yourself be inspired to give it your unique twist and involve your followers https www instagram com p C U f IMii"
2872,online shopping budget for print on demand items t-shirts bags notebooks sweaters,Pick the item of your choice on our webshop for a max value of euro excl shipping In return we d like a video of you showing the item wearing the item with a nice caption and corresponding hashtags depending on the item you ve picked posted on both your Instagram TikTok where you tag us a Google or TrustPilot review with picture the video send by email to us so we can use it later if desired you will be tagged if we use it again
3690,Emergency News Survival Signal Campaign Emergency Radio,"We are looking for influencers to promote our NoodNieuws Emergency Radio. You will receive a free Noodradio t w in exchange for a post showing the benefits and use of the radio. Perfect for outdoor lovers, preppers and tech enthusiasts"
1851,Free SweatHack shirt or top Earn commission,"Do you want to show your followers a great sweat hack? At Confidence For All we believe that the right essentials can make the best out of your day and we have something special for you. We offer you free tops or shirts to wear, test and promote. Earn commission if someone buys through your link. We believe that confidence starts with the right outfit and that is why we want to collaborate with influencers like you who want to share our message of self-confidence and style with your audience. What do we offer? Free essentials Get free items and show your followers how they can stay dry and comfortable with your sweat hack It can be the same in different colors or different items t w affiliate commission Earn extra every time someone buys through your link Create your own affiliate link and earn on every sale that takes place via your link Sign up via https confidenceforall goaffpro com Need inspiration? Check out how influencer beautatelierzuid is doing it and shares her own sweat hack. Let yourself be inspired to give it your unique twist and involve your followers https www instagram com p C U f IMii"
1744,Online course portrait drawing t/m v,"Are you creative and do you like drawing? You will receive our free online course Portrait Drawing from us. And if you want an affiliate link with which you get a share of the revenue when someone purchases a course via Soofos. It is important that you yourself also follow the course, so sincere interest in drawing is desired"
2948,Free Admission to Nxt Art Studio Event,Calling all influencers Are you ready for a fun creative and colorful Sunday experience in the city centre of Amsterdam Join us at NXT Art Studio for a Creative Piggy Bank Painting Session on Sunday January th at PM If this Sunday doesn t suit you we can check for another date We welcome influencers of all kinds no strict requirements Bring a friend and let your creativity flow while sharing your experience with your audience This is a unique chance to enjoy art relax and create something memorable on us Interested Just reply here and we ll sort out the details together Spots are limited so don t miss out NXTArtStudio CreativeSunday PiggyBankPainting InfluencersWelcome JoinUs
1278,Paid collaboration with Moco Museum Barcelona,"We are looking for Content Creators to create a UGC video for Moco Museum Barcelona. For this video, you need to visit the museum and create content there. Compensation Tickets for you and friends"
3691,Free Vegan Cake and Coffee,You ll get to taste as many vegan cakes from SharpSharp and pastries from Epicurieus as you like with a drink of your choice
3846,A Golden Sun Tan with Natural Organic Accelerators,"Receive our tanning accelerators for free to use in the sun or on a sun bed and get a beautiful, deep golden sun tan in exchange for showing off your tan to your followers."
2254,Celebrate Good Times,"Celebrate with our chalkboard balloon. The barter includes a chalkboard, multiple chalk markers, and an extra one to give away."
3847,,v
1205,Thomas Ambassadors,A long-term collaboration where ambassadors can visit once every two months in exchange for creating UGC videos
3848,Tocu Health Energy Vitamin Patches,"On the days when you need a powerful but all natural pick me up look no further than TOCU's Power Up Vitamin Patches. This patch aims to boost energy levels with a complex blend of caffeine, taurine, glucuronolactone and B vitamins perfectly blended to supercharge your day. Are you ready to take things up to fifth gear?"
2251,An elephant never forgets.,Keep track of those important dates or just use it to decorate. Get different colored chalk markers to decorate and receive an additional one to give to your audience. Let your creativity roar
3048,Bar Oldenhof Movie Themed Cocktail Menu Tasting,"We would like to offer an introduction to Bar Oldenhof and our specialized movie themed menu for people with drinks included. We are a high end cocktail bar specialized in all different styles and flavors and are in the top best bars in the world. Next to our cocktails we serve a large assortment of different whiskeys, mezcals and gins"
2491,Cook a kid-friendly meal for your whole family from Vegetables for Kids,"Vegetables for Kids is the cookbook for the whole family and stands for easy, healthy and delicious food with lots of vegetables. From now on you can cook just one meal for your entire family With a small adjustment you can feed both your baby who starts with the first bites as well as yourself and all ages in between That is why I am looking for creators who are parents of one or more children aged half a year to a year, who want to make a video with this cookbook where a dish of their choice is cooked from this cookbook The content must be posted before March You will receive the Vegetables for Kids t w v cookbook from me with easy, healthy and delicious recipes for the whole family"
2205,Collaboration offer of the UGC video with HEEVEY Foot bath,"We are TIBA B V, the brand behind HEEVEY and we would love to collaborate with you. HEEVEY stands for high-quality wellness products that contribute to relaxation and self-care, and our latest foot bath is no exception. We think you’re perfect to capture and share this experience with your audience. Our Offering: We are sending you our popular HEEVEY foot bath for free. You make an authentic and personal video in which you showcase your experience with the HEEVEY foot bath. Think of a video in which you unpack the foot bath and highlight its main features. Share your first impression and how you use the foot bath. Tell us how the HEEVEY foot bath contributes to relaxation or a self-care routine. Let us know if you are interested in this collaboration. We look forward to working with you to bring attention to the HEEVEY foot bath, and hope that this product adds a lovely moment of relaxation to your routine"
2207,Creative UGC content creator wanted for TIBA Goods shoe dryer,"Are you a content creator who likes to review products and share useful lifestyle tips Do you have a passion for gadgets that make everyday life easier We are looking for an enthusiastic creator to create authentic and appealing content for our latest innovation, the TIBA Goods Shoe Dryer Who are you You have experience making authentic and engaging videos and photos for social media You know how to present products in an original and attractive way You have a keen eye for quality and detail in your content What we offer An opportunity to collaborate with a growing brand that values quality and innovation Products and compensation for your creative contributions Exposure on our social media channels with your unique content Interested Send us a DM or email with examples of your work and tell us why you are the perfect match Let’s create something amazing together"
2874,Cashflow Club For experienced introverted online entrepreneurs.,"For introverted entrepreneurs who do online business and want to improve their online marketing knowledge and skills with a focus on email marketing funnels, I have founded the Cashflow Club, a half-year membership with new content every month. You get months of access to the club for €1 and receive bonuses so that you have the same experience as my customers. In the course bonus, you learn in modules how to create an email automation of at least several months long. The leads you get via Instagram or TikTok through your referrer on your email list can then be automatically offered several times while building a relationship via email and social media. Your name stays top of mind even if your social media account is put on hold or even deleted. Just think about the situation that a social media channel disappears. How nice it is when you have your own list with people interested in your products and services. In the Cashflow Club, we continue where the course stops. I am available there x per month in a Q&A. You can post your questions in the club and every month I will post training on a theme. Previous themes were mini offers, email texts, live funnel building challenge, online marketing figures. In return, I ask you to post a video about the club every month for x months about what you learn about what a funnel means for your business and how introverted entrepreneurs experience this club in a professional and respectful way"
3156,Per video Paid UGC features brand Cherries,"Cherries is a brand with the focus on small sizes AA C cups. Our team is looking for energetic content creators for paid collaborations. Cherries provides complete scripts for videos. Depending on your experience, we pay € per video. Posting on your own socials is not necessary; we only need the content."
2234,Glamhat canvas x cm canvas art,A UGC video of you unpacking and hanging the artwork on a canvas 10 cm away
3049,Jann Chocolates Discovery Box,discovery box from Jann Chocolates for €20
2248,Get a free chalkboard shaped like a toucan,Use this chalkboard toucan to decorate or keep important reminders. Includes one to give away and chalk markers.
3693,Get a Free Face Mask,Free Forever Living Face Mask Also option to receive your own affiliate link
2444,Scare blanket Child GIFT VOUCHER,We are looking for enthusiastic creators to collaborate with. Highlight the benefits of weighted blankets for children. This is what we are looking for. Creative presentation. Create a cozy and soothing atmosphere that fits the calming purpose of the blanket. Subtly suggest how this blanket can make bedtime fun and peaceful for children. Your child experience. Tell how this blanket helps children to relax and sleep better. Highlight the unique features and why it is an attentive gift for both parents and children. Made from OEKO tex cotton. Improves sleep through deep pressure stimulation. Reduces stress and promotes melatonin. Show the blanket in use. Letting the blanket provide comfort and relaxation to children during bedtime or quiet moments. Bonus points for creative scenarios such as telling stories under the blanket or having children do their favorite activities with it. Call to action. Encourage your audience to try it out. Offering an exclusive discount code that parents can use to improve their child's bedtime experience GIFT CERTIFICATE We offer you a gift certificate that you can spend on our website so you can choose the perfect products for yourself or your family
2560,Knuffy Koala Reward Box for children up to age 12,"Hi Knuffy Koala focuses on fun and exciting skills for children aged between t m years old. Potty training, vitamins and brushing teeth become fun in the Knuffy Koala way. We send reward boxes to you and your child to give away to your followers"
3051,Pasta la Vista Gent,Free pasta with €5 A normal drink of your choice Pasta la vista Maldegem Ghent or Bruges
3052,Pasta la Vista Gent,Free pasta with €5 A normal drink of your choice Pasta la vista Maldegem Ghent or Bruges
3053,Pasta la Vista Pastabar,Pasta for personal drinks of your choice Euro
3054,Pasta la Vista Pastabar,Pasta for personal drinks of your choice Euro
2875,Make Chef Mallows unbeatable with your content,"Are you a creative influencer with at least followers and love making content that inspires your followers? We are looking for you At Chef Mallows, everything revolves around creating an experience that appeals to your followers and creates the desire to try our delicious handmade marshmallows. We want your content not only to be a treat for the eye but also to tell a story that takes your followers into a world of taste, coziness and indulgence Everything revolves around conveying an atmosphere where your followers think I want this too"
3692,"Putting together Ralph Lauren outfits, wearing and showcasing them in my showroom photo studio","Our company is a unique point of sale for exclusive authentic Ralph Lauren clothing and accessories. As part of this deal, a content creator will put together outfits from our large collection of Ralph Lauren clothing and accessories that they find beautiful to wear and create content from. The content creator has the freedom to choose which outfits he or she wants to wear but it is important that the items look good and that different styles are presented such as oversized vintage and more. It will be a unique shopping experience in our showroom where we provide a luxurious atmosphere with a glass of champagne and a comfortable chair to relax in. The content can be made for the mirror with the clothing racks in the background or for a completely white sheet in my photo studio. In exchange for the content and exposure on social media channels, the content creator may choose a Ralph Lauren outfit that he or she likes and take it home. This way we create a valuable collaboration that benefits both the content creator and my brand. After all, Ralph Lauren clothing is an enormously good brand for content and evokes a unique feeling in many people. Take a look at our website www timelesstreasury nl for a first feel of my company"
3055,Pasta la Vista Pastabar,Pasta for personal drinks of your choice Euro
2619,Taste Test,Meet the new line of Dubai Chocolate Get a value package with different chocolates Test and share your opinion
1829,Recycled Electric Toothbrush Head Oral B,"If you are passionate about sustainability and eager to embrace a zero waste lifestyle, this offer is perfect for you. You will receive two sustainable RECYCLED ELECTRIC TOOTHBRUSH HEADS ORAL B. They are made from recycled plastic made from waste fit Oral B electric toothbrushes perfectly and help reduce waste. With bio based bristles made from castor oil, they are gentle on your gums yet tough on plaque ensuring a thorough clean you can feel great about"
2561,Creating content with a jewelry brand,You are going to create content for our company.
3311,Ergonomic mattress toppers cushions,"Are you a content creator with a passion for comfort and lifestyle? We are looking for enthusiastic creators who want to introduce their followers to the Felman Basic mattress topper, the upgrade for better sleep. With this cm thick topper, you will experience ultimate sleeping pleasure, ergonomic support and choose between a firm cool side or a soft thermo side. And the best part is that you receive this premium product completely free of charge to test and share with your followers. What we expect from you Energetic and creative content in which you share your experience Comfortable on camera and not afraid to talk Strong editing skills to perfectly portray the benefits of the topper A touch of humor and an authentic vibe Why join? You get the Felman Basic mattress topper for free. With certain sizes, you also receive a free pillow Chance of a long-term collaboration if we are a good match"
601,x Guest list for Voltage at Bibelot in Dordrecht,Voltage is RAW UNCUT without fuss a little naughty a hint of sexy but just over the edge with a true melting pot of various Caribbean styles such as Reggae Rub a Dub Early Dancehall Bubbling Calypso Soca and a touch of Afro with tunes from then and now We offer x guest list for creators who like to party Come visit us in Dordrecht in February
602,x Guestlist for Voltage at De Nobel Leiden,Voltage is RAW UNCUT without fuss a little naughty a hint of sexy but just over the edge with a true melting pot of various Caribbean styles such as Reggae Rub a Dub Early Dancehall Bubbling Calypso Soca and a touch of Afro with tunes from then and now We offer x guest list for creators who like to party Come visit us in Leiden in February
2486,Promote the Good Beer Spa,You get one free entry for people hour in tub valid every day except Saturday closed on Wednesday The jacuzzis are huge m m m so there is plenty of space You make a reel or video about the experience including images of the shop at the entrance of the spa featuring our homemade bodycare products
